"STCNTYFIP","STATE","COUNTY","OCC","OCCUPATION","OCCUPATION_BROAD","GENDER","TOTAL_POP","HISP-LAT","WHITE","AI-AN","ASIAN-PI","BLACK","TWO-OR-MORE","OTHER","PCT_HISP-LAT","PCT_WHITE","PCT_AI-AN","PCT_ASIAN-PI","PCT_BLACK","PCT_TWO-OR-MORE","PCT_OTHER"
"01003","Alabama","Baldwin","2004","Mental health counselors","Mental health counselors","MALE",61,39,22,NA,NA,NA,NA,NA,63.93,36.07,NA,NA,NA,NA,NA
"01003","Alabama","Baldwin","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01003","Alabama","Baldwin","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01003","Alabama","Baldwin","1825","Other psychologists","Psychologists","MALE",83,NA,83,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01003","Alabama","Baldwin","1822","School psychologists","Psychologists","FEMALE",22,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01003","Alabama","Baldwin","0000","Total-Pop","Total-Pop","MALE",103653,5324,85662,700,617,9353,1607,390,5.14,82.64,0.68,0.6,9.02,1.55,0.38
"01003","Alabama","Baldwin","2004","Mental health counselors","Mental health counselors","ALL",89,39,50,NA,NA,NA,NA,NA,43.82,56.18,NA,NA,NA,NA,NA
"01003","Alabama","Baldwin","2005","Rehabilitation counselors","Mental health counselors","FEMALE",19,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA
"01003","Alabama","Baldwin","1822","School psychologists","Psychologists","ALL",22,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01003","Alabama","Baldwin","2004","Mental health counselors","Mental health counselors","FEMALE",28,NA,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
