"GEOID","GEONAME","PROFLN","TITLE","GENDER","OCC_CODE","OCC_DESCRIPTION","TOTAL","HISP_LAT","WHITE","BLACK","AM_ID","ASIAN","HI_PI","OTHER","PCT_HISP_LAT","PCT_WHITE","PCT_BLACKT","PCT_AM_ID","PCT_ASIAN","PCT_HI_PI","PCT_OTHER"
"05000US01001","Autauga County, Alabama",1,"Number","Total","0","Total, all occupations",13390,230,9185,3585,20,250,0,125,1.72,68.6,26.77,0.15,1.87,0,0.93
"05000US01001","Autauga County, Alabama",3,"Number","Men","0","Total, all occupations",6320,135,4350,1610,4,155,0,65,2.14,68.83,25.47,0.06,2.45,0,1.03
"05000US01001","Autauga County, Alabama",5,"Number","Women","0","Total, all occupations",7070,95,4830,1970,15,95,0,60,1.34,68.32,27.86,0.21,1.34,0,0.85
"05000US01003","Baldwin County, Alabama",1,"Number","Total","0","Total, all occupations",76070,3395,62440,8225,340,630,10,1030,4.46,82.08,10.81,0.45,0.83,0.01,1.35
"05000US01003","Baldwin County, Alabama",3,"Number","Men","0","Total, all occupations",36775,2045,30545,3120,240,280,0,545,5.56,83.06,8.48,0.65,0.76,0,1.48
"05000US01003","Baldwin County, Alabama",5,"Number","Women","0","Total, all occupations",39295,1350,31895,5105,100,350,10,490,3.44,81.17,12.99,0.25,0.89,0.03,1.25
"05000US01009","Blount County, Alabama",1,"Number","Total","0","Total, all occupations",8680,825,7430,185,25,105,0,110,9.5,85.6,2.13,0.29,1.21,0,1.27
"05000US01009","Blount County, Alabama",3,"Number","Men","0","Total, all occupations",4755,610,3905,150,0,65,0,25,12.83,82.12,3.15,0,1.37,0,0.53
"05000US01009","Blount County, Alabama",5,"Number","Women","0","Total, all occupations",3925,215,3525,35,25,40,0,85,5.48,89.81,0.89,0.64,1.02,0,2.17
"05000US01015","Calhoun County, Alabama",1,"Number","Total","0","Total, all occupations",46150,1435,35085,8280,70,710,0,570,3.11,76.02,17.94,0.15,1.54,0,1.24
"05000US01015","Calhoun County, Alabama",3,"Number","Men","0","Total, all occupations",24090,875,18515,3870,60,350,0,425,3.63,76.86,16.06,0.25,1.45,0,1.76
"05000US01015","Calhoun County, Alabama",5,"Number","Women","0","Total, all occupations",22055,565,16570,4410,10,360,0,145,2.56,75.13,20,0.05,1.63,0,0.66
"05000US01031","Coffee County, Alabama",1,"Number","Total","0","Total, all occupations",17745,1160,12405,3415,225,205,0,340,6.54,69.91,19.24,1.27,1.16,0,1.92
"05000US01031","Coffee County, Alabama",3,"Number","Men","0","Total, all occupations",9015,740,6295,1565,110,130,0,170,8.21,69.83,17.36,1.22,1.44,0,1.89
"05000US01031","Coffee County, Alabama",5,"Number","Women","0","Total, all occupations",8730,420,6105,1850,115,75,0,165,4.81,69.93,21.19,1.32,0.86,0,1.89
"05000US01033","Colbert County, Alabama",1,"Number","Total","0","Total, all occupations",24375,985,19815,3100,170,100,4,200,4.04,81.29,12.72,0.7,0.41,0.02,0.82
"05000US01033","Colbert County, Alabama",3,"Number","Men","0","Total, all occupations",13715,745,11625,1130,90,35,0,90,5.43,84.76,8.24,0.66,0.26,0,0.66
"05000US01033","Colbert County, Alabama",5,"Number","Women","0","Total, all occupations",10660,240,8190,1970,80,65,4,110,2.25,76.83,18.48,0.75,0.61,0.04,1.03
"05000US01043","Cullman County, Alabama",1,"Number","Total","0","Total, all occupations",28155,865,26055,615,90,240,0,290,3.07,92.54,2.18,0.32,0.85,0,1.03
"05000US01043","Cullman County, Alabama",3,"Number","Men","0","Total, all occupations",14900,510,13750,355,35,145,0,105,3.42,92.28,2.38,0.23,0.97,0,0.7
"05000US01043","Cullman County, Alabama",5,"Number","Women","0","Total, all occupations",13260,355,12305,265,50,100,0,185,2.68,92.8,2,0.38,0.75,0,1.4
