"STATEFIP","STATE_NAME","OCC","OCCUPATION","OCCUPATION_BROAD","GENDER","TOTAL_POP","HISP-LAT","WHITE","AI-AN","ASIAN-PI","BLACK","TWO-OR-MORE","OTHER","PCT_HISP-LAT","PCT_WHITE","PCT_AI-AN","PCT_ASIAN-PI","PCT_BLACK","PCT_TWO-OR-MORE","PCT_OTHER"
"01","Alabama","1821","Clinical and counseling psychologists","Psychologists","ALL",217,NA,217,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01","Alabama","1822","School psychologists","Psychologists","ALL",314,NA,314,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01","Alabama","1825","Other psychologists","Psychologists","ALL",602,5,546,11,NA,36,4,NA,0.83,90.7,1.83,NA,5.98,0.66,NA
"01","Alabama","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",1217,NA,761,NA,33,423,NA,NA,NA,62.53,NA,2.71,34.76,NA,NA
"01","Alabama","2003","Marriage and family therapists","Mental health counselors","ALL",369,11,247,NA,NA,111,NA,NA,2.98,66.94,NA,NA,30.08,NA,NA
"01","Alabama","2004","Mental health counselors","Mental health counselors","ALL",1585,53,874,NA,NA,645,13,NA,3.34,55.14,NA,NA,40.69,0.82,NA
"01","Alabama","2005","Rehabilitation counselors","Mental health counselors","ALL",595,NA,470,4,NA,121,NA,NA,NA,78.99,0.67,NA,20.34,NA,NA
"01","Alabama","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",516,NA,277,NA,16,207,16,NA,NA,53.68,NA,3.1,40.12,3.1,NA
"01","Alabama","2004","Mental health counselors","Mental health counselors","FEMALE",1355,14,773,NA,NA,555,13,NA,1.03,57.05,NA,NA,40.96,0.96,NA
"01","Alabama","2005","Rehabilitation counselors","Mental health counselors","FEMALE",503,NA,420,4,NA,79,NA,NA,NA,83.5,0.8,NA,15.71,NA,NA
"01","Alabama","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",416,NA,270,NA,16,114,16,NA,NA,64.9,NA,3.85,27.4,3.85,NA
"01","Alabama","1821","Clinical and counseling psychologists","Psychologists","MALE",80,NA,80,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01","Alabama","1822","School psychologists","Psychologists","MALE",14,NA,14,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01","Alabama","1825","Other psychologists","Psychologists","MALE",292,NA,277,11,NA,NA,4,NA,NA,94.86,3.77,NA,NA,1.37,NA
"01","Alabama","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",462,NA,240,NA,33,189,NA,NA,NA,51.95,NA,7.14,40.91,NA,NA
"01","Alabama","2003","Marriage and family therapists","Mental health counselors","MALE",99,NA,31,NA,NA,68,NA,NA,NA,31.31,NA,NA,68.69,NA,NA
"01","Alabama","2004","Mental health counselors","Mental health counselors","MALE",230,39,101,NA,NA,90,NA,NA,16.96,43.91,NA,NA,39.13,NA,NA
"01","Alabama","2005","Rehabilitation counselors","Mental health counselors","MALE",92,NA,50,NA,NA,42,NA,NA,NA,54.35,NA,NA,45.65,NA,NA
"01","Alabama","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",100,NA,7,NA,NA,93,NA,NA,NA,7,NA,NA,93,NA,NA
"01","Alabama","1825","Other psychologists","Psychologists","FEMALE",310,5,269,NA,NA,36,NA,NA,1.61,86.77,NA,NA,11.61,NA,NA
"01","Alabama","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",755,NA,521,NA,NA,234,NA,NA,NA,69.01,NA,NA,30.99,NA,NA
"01","Alabama","2003","Marriage and family therapists","Mental health counselors","FEMALE",270,11,216,NA,NA,43,NA,NA,4.07,80,NA,NA,15.93,NA,NA
"01","Alabama","0000","Total-Pop","Total-Pop","MALE",2358150,109494,1561195,10660,30136,602545,40182,3938,4.64,66.2,0.45,1.28,25.55,1.7,0.17
"01","Alabama","1822","School psychologists","Psychologists","FEMALE",300,NA,300,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01","Alabama","0000","Total-Pop","Total-Pop","ALL",4876250,208619,3194802,21849,66446,1293270,83543,7721,4.28,65.52,0.45,1.36,26.52,1.71,0.16
"01","Alabama","0000","Total-Pop","Total-Pop","FEMALE",2518100,99125,1633607,11189,36310,690725,43361,3783,3.94,64.87,0.44,1.44,27.43,1.72,0.15
"01","Alabama","1821","Clinical and counseling psychologists","Psychologists","FEMALE",137,NA,137,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02","Alaska","2003","Marriage and family therapists","Mental health counselors","FEMALE",30,NA,16,14,NA,NA,NA,NA,NA,53.33,46.67,NA,NA,NA,NA
"02","Alaska","2004","Mental health counselors","Mental health counselors","FEMALE",106,10,39,4,NA,NA,53,NA,9.43,36.79,3.77,NA,NA,50,NA
"02","Alaska","1825","Other psychologists","Psychologists","MALE",89,NA,89,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02","Alaska","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",163,NA,70,88,NA,NA,5,NA,NA,42.94,53.99,NA,NA,3.07,NA
"02","Alaska","1821","Clinical and counseling psychologists","Psychologists","MALE",53,NA,53,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02","Alaska","1821","Clinical and counseling psychologists","Psychologists","FEMALE",8,NA,8,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02","Alaska","1822","School psychologists","Psychologists","FEMALE",34,11,23,NA,NA,NA,NA,NA,32.35,67.65,NA,NA,NA,NA,NA
