"MET2013","METRO_AREA","OCC","OCCUPATION","OCCUPATION_BROAD","GENDER","TOTAL_POP","HISP-LAT","WHITE","AI-AN","ASIAN-PI","BLACK","TWO-OR-MORE","OTHER","PCT_HISP-LAT","PCT_WHITE","PCT_AI-AN","PCT_ASIAN-PI","PCT_BLACK","PCT_TWO-OR-MORE","PCT_OTHER"
10420,"Akron, OH","1821","Clinical and counseling psychologists","Psychologists","ALL",62,NA,62,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","1822","School psychologists","Psychologists","ALL",163,NA,148,NA,NA,15,NA,NA,NA,90.8,NA,NA,9.2,NA,NA
10420,"Akron, OH","1825","Other psychologists","Psychologists","ALL",429,NA,429,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",337,NA,302,NA,20,15,NA,NA,NA,89.61,NA,5.93,4.45,NA,NA
10420,"Akron, OH","2003","Marriage and family therapists","Mental health counselors","ALL",267,NA,251,NA,NA,16,NA,NA,NA,94.01,NA,NA,5.99,NA,NA
10420,"Akron, OH","2004","Mental health counselors","Mental health counselors","ALL",314,40,174,NA,NA,82,18,NA,12.74,55.41,NA,NA,26.11,5.73,NA
10420,"Akron, OH","2005","Rehabilitation counselors","Mental health counselors","ALL",111,NA,111,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","2003","Marriage and family therapists","Mental health counselors","FEMALE",223,NA,223,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","2004","Mental health counselors","Mental health counselors","FEMALE",231,40,126,NA,NA,65,NA,NA,17.32,54.55,NA,NA,28.14,NA,NA
10420,"Akron, OH","2005","Rehabilitation counselors","Mental health counselors","FEMALE",102,NA,102,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","1821","Clinical and counseling psychologists","Psychologists","MALE",37,NA,37,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","1822","School psychologists","Psychologists","MALE",15,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA
10420,"Akron, OH","1825","Other psychologists","Psychologists","MALE",118,NA,118,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",52,NA,52,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","2003","Marriage and family therapists","Mental health counselors","MALE",44,NA,28,NA,NA,16,NA,NA,NA,63.64,NA,NA,36.36,NA,NA
10420,"Akron, OH","2004","Mental health counselors","Mental health counselors","MALE",83,NA,48,NA,NA,17,18,NA,NA,57.83,NA,NA,20.48,21.69,NA
10420,"Akron, OH","2005","Rehabilitation counselors","Mental health counselors","MALE",9,NA,9,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","1822","School psychologists","Psychologists","FEMALE",148,NA,148,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","1825","Other psychologists","Psychologists","FEMALE",311,NA,311,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",285,NA,250,NA,20,15,NA,NA,NA,87.72,NA,7.02,5.26,NA,NA
10420,"Akron, OH","1821","Clinical and counseling psychologists","Psychologists","FEMALE",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10420,"Akron, OH","0000","Total-Pop","Total-Pop","ALL",703899,14641,562297,1081,21139,84622,19194,925,2.08,79.88,0.15,3,12.02,2.73,0.13
10420,"Akron, OH","0000","Total-Pop","Total-Pop","MALE",342888,7830,274910,474,10169,39535,9609,361,2.28,80.17,0.14,2.97,11.53,2.8,0.11
10420,"Akron, OH","0000","Total-Pop","Total-Pop","FEMALE",361011,6811,287387,607,10970,45087,9585,564,1.89,79.61,0.17,3.04,12.49,2.66,0.16
10580,"Albany-Schenectady-Troy, NY","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",176,NA,176,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",87,NA,64,NA,NA,14,9,NA,NA,73.56,NA,NA,16.09,10.34,NA
10580,"Albany-Schenectady-Troy, NY","2003","Marriage and family therapists","Mental health counselors","FEMALE",149,NA,149,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","2005","Rehabilitation counselors","Mental health counselors","FEMALE",139,37,88,NA,10,4,NA,NA,26.62,63.31,NA,7.19,2.88,NA,NA
10580,"Albany-Schenectady-Troy, NY","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",175,86,27,NA,NA,62,NA,NA,49.14,15.43,NA,NA,35.43,NA,NA
10580,"Albany-Schenectady-Troy, NY","1821","Clinical and counseling psychologists","Psychologists","MALE",36,NA,36,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
