"GEOID","GEONAME","PROFLN","TITLE","GENDER","OCC_CODE","OCC_DESCRIPTION","TOTAL","HISP_LAT","WHITE","BLACK","AM_ID","ASIAN","HI_PI","OTHER","PCT_HISP_LAT","PCT_WHITE","PCT_BLACKT","PCT_AM_ID","PCT_ASIAN","PCT_HI_PI","PCT_OTHER"
"31000US10140","Aberdeen, WA Micro Area",1,"Number","Total","0","Total, all occupations",24725,1965,20100,110,1165,700,50,640,7.95,81.29,0.44,4.71,2.83,0.2,2.59
"31000US10140","Aberdeen, WA Micro Area",3,"Number","Men","0","Total, all occupations",12790,1200,10235,65,655,320,25,290,9.38,80.02,0.51,5.12,2.5,0.2,2.27
"31000US10140","Aberdeen, WA Micro Area",5,"Number","Women","0","Total, all occupations",11940,765,9865,45,510,375,25,350,6.41,82.62,0.38,4.27,3.14,0.21,2.93
"31000US10180","Abilene, TX Metro Area",1,"Number","Total","0","Total, all occupations",72145,16195,48765,4590,215,1500,40,840,22.45,67.59,6.36,0.3,2.08,0.06,1.16
"31000US10180","Abilene, TX Metro Area",3,"Number","Men","0","Total, all occupations",36045,8285,24515,2170,95,520,40,425,22.99,68.01,6.02,0.26,1.44,0.11,1.18
"31000US10180","Abilene, TX Metro Area",5,"Number","Women","0","Total, all occupations",36105,7910,24250,2425,120,980,0,420,21.91,67.17,6.72,0.33,2.71,0,1.16
"31000US10300","Adrian, MI Micro Area",1,"Number","Total","0","Total, all occupations",32565,2570,28470,605,90,230,0,600,7.89,87.43,1.86,0.28,0.71,0,1.84
"31000US10300","Adrian, MI Micro Area",3,"Number","Men","0","Total, all occupations",16600,1250,14480,435,50,135,0,250,7.53,87.23,2.62,0.3,0.81,0,1.51
"31000US10300","Adrian, MI Micro Area",5,"Number","Women","0","Total, all occupations",15965,1320,13990,165,40,100,0,350,8.27,87.63,1.03,0.25,0.63,0,2.19
"31000US10380","Aguadilla-Isabela, PR Metro Area",1,"Number","Total","0","Total, all occupations",69060,66210,2240,120,0,110,0,380,95.87,3.24,0.17,0,0.16,0,0.55
"31000US10380","Aguadilla-Isabela, PR Metro Area",3,"Number","Men","0","Total, all occupations",39005,37260,1370,70,0,80,0,225,95.53,3.51,0.18,0,0.21,0,0.58
"31000US10380","Aguadilla-Isabela, PR Metro Area",5,"Number","Women","0","Total, all occupations",30055,28950,870,45,0,35,0,155,96.32,2.89,0.15,0,0.12,0,0.52
"31000US10420","Akron, OH Metro Area",1,"Number","Total","0","Total, all occupations",343040,6585,286305,35225,475,8460,75,5910,1.92,83.46,10.27,0.14,2.47,0.02,1.72
"31000US10420","Akron, OH Metro Area",3,"Number","Men","0","Total, all occupations",176280,3840,149170,15610,255,4545,15,2850,2.18,84.62,8.86,0.14,2.58,0.01,1.62
"31000US10420","Akron, OH Metro Area",5,"Number","Women","0","Total, all occupations",166760,2745,137135,19620,225,3920,60,3060,1.65,82.23,11.77,0.13,2.35,0.04,1.83
"31000US10460","Alamogordo, NM Micro Area",1,"Number","Total","0","Total, all occupations",22475,7400,12385,550,1470,275,0,395,32.93,55.11,2.45,6.54,1.22,0,1.76
"31000US10460","Alamogordo, NM Micro Area",3,"Number","Men","0","Total, all occupations",11700,3460,7035,300,575,95,0,240,29.57,60.13,2.56,4.91,0.81,0,2.05
"31000US10460","Alamogordo, NM Micro Area",5,"Number","Women","0","Total, all occupations",10775,3940,5350,250,895,180,0,155,36.57,49.65,2.32,8.31,1.67,0,1.44
"31000US10500","Albany, GA Metro Area",1,"Number","Total","0","Total, all occupations",60380,1825,28755,27925,190,845,35,805,3.02,47.62,46.25,0.31,1.4,0.06,1.33
"31000US10500","Albany, GA Metro Area",3,"Number","Men","0","Total, all occupations",29985,1200,15380,12555,135,400,25,290,4,51.29,41.87,0.45,1.33,0.08,0.97
"31000US10500","Albany, GA Metro Area",5,"Number","Women","0","Total, all occupations",30395,630,13375,15370,55,440,10,515,2.07,44,50.57,0.18,1.45,0.03,1.69
"31000US10540","Albany, OR Metro Area",1,"Number","Total","0","Total, all occupations",47125,4335,40330,250,240,565,20,1385,9.2,85.58,0.53,0.51,1.2,0.04,2.94
"31000US10540","Albany, OR Metro Area",3,"Number","Men","0","Total, all occupations",26965,2870,22895,175,85,230,4,710,10.64,84.91,0.65,0.32,0.85,0.01,2.63
